0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:13 +0530] "GET /CollaborationFrontEnd/user/AuthenticationService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:13 +0530] "GET /CollaborationFrontEnd/user/LoginController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:13 +0530] "GET /CollaborationFrontEnd/user/FlashService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:13 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:13 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:13 +0530] "GET /CollaborationFrontEnd/forum/ForumController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:13 +0530] "GET /CollaborationFrontEnd/forum/ForumService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:13 +0530] "GET /CollaborationFrontEnd/jobs/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:13 +0530] "GET /CollaborationFrontEnd/jobs/JobService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:13 +0530] "GET /CollaborationFrontEnd/image/image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:13 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:13 +0530] "GET /CollaborationFrontEnd/user/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:13 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:32 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:32 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:32 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:32 +0530] "GET /CollaborationBack/forums/ HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:32 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:32 +0530] "GET /CollaborationBack/jobs/ HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:32 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:33 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:33 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:33 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:33 +0530] "GET /CollaborationBack/forums/ HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:33 +0530] "GET /CollaborationBack/jobs/ HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:33 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:33 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:34 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:34 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:34 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:34 +0530] "GET /CollaborationBack/forums/ HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:34 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:34 +0530] "GET /CollaborationBack/jobs/ HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:56:34 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:00:58 +0530] "GET /CollaborationBack/users/supriga HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:00:58 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:00:58 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:00:58 +0530] "GET /CollaborationBack/forums/ HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:00:58 +0530] "GET /CollaborationBack/jobs/ HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:01:42 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:07 +0530] "GET /CollaborationFrontEnd/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:07 +0530] "GET /CollaborationFrontEnd/fonts/font-awesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:07 +0530] "GET /CollaborationFrontEnd/css/demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:07 +0530] "GET /CollaborationFrontEnd/css/set2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:07 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:07 +0530] "GET /CollaborationFrontEnd/user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:07 +0530] "GET /CollaborationFrontEnd/user/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:07 +0530] "GET /CollaborationFrontEnd/user/AuthenticationService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:07 +0530] "GET /CollaborationFrontEnd/user/LoginController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:07 +0530] "GET /CollaborationFrontEnd/user/FlashService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:07 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:07 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:07 +0530] "GET /CollaborationFrontEnd/forum/ForumController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:07 +0530] "GET /CollaborationFrontEnd/forum/ForumService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:07 +0530] "GET /CollaborationFrontEnd/jobs/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:07 +0530] "GET /CollaborationFrontEnd/jobs/JobService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:07 +0530] "GET /CollaborationFrontEnd/image/image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:07 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:07 +0530] "GET /CollaborationFrontEnd/user/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:07 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:27 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 10584
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:27 +0530] "GET /CollaborationFrontEnd/css/demo.css HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:27 +0530] "GET /CollaborationFrontEnd/css/normalize.css HTTP/1.1" 200 2376
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:27 +0530] "GET /CollaborationFrontEnd/user/UserController.js HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:27 +0530] "GET /CollaborationFrontEnd/css/set2.css HTTP/1.1" 200 2667
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:27 +0530] "GET /CollaborationFrontEnd/fonts/font-awesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:27 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 3580
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:27 +0530] "GET /CollaborationFrontEnd/user/UserService.js HTTP/1.1" 200 2719
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:27 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 2899
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:27 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 2232
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:27 +0530] "GET /CollaborationFrontEnd/user/FlashService.js HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:27 +0530] "GET /CollaborationFrontEnd/user/AuthenticationService.js HTTP/1.1" 200 5363
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:27 +0530] "GET /CollaborationFrontEnd/user/LoginController.js HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:27 +0530] "GET /CollaborationFrontEnd/forum/ForumController.js HTTP/1.1" 200 2175
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:27 +0530] "GET /CollaborationFrontEnd/jobs/JobController.js HTTP/1.1" 200 2496
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:27 +0530] "GET /CollaborationFrontEnd/forum/ForumService.js HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:27 +0530] "GET /CollaborationFrontEnd/jobs/JobService.js HTTP/1.1" 200 2212
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:28 +0530] "GET /CollaborationFrontEnd/image/image.png HTTP/1.1" 200 11110
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:28 +0530] "GET /CollaborationFrontEnd/user/login.html HTTP/1.1" 200 7432
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:28 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:28 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
